"Device","Power Source","GND Source","Control/Signal Pins","Pi GPIO Pin(s)"
"IBT-2 Driver 1 Motor A","Battery 12V","Battery","RPWM","GPIO17"
"IBT-2 Driver 1 Motor B","Battery 12V","Battery","LPWM","GPIO27"
"IBT-2 Driver 1 Enable","Battery 12V","Battery","R_EN, L_EN","GPIO22, GPIO5"
"IBT-2 Driver 2 Motor A","Battery 12V","Battery","RPWM","GPIO6"
"IBT-2 Driver 2 Motor B","Battery 12V","Battery","LPWM","GPIO13"
"IBT-2 Driver 2 Enable","Battery 12V","Battery","R_EN, L_EN","GPIO19, GPIO26"
"MG995 Servo 1 (Wheel)","Buck 5V","Buck GND","PWM Signal","GPIO18"
"MG995 Servo 2 (Wheel)","Buck 5V","Buck GND","PWM Signal","GPIO24"
"MG995 Servo 3 (Wheel)","Buck 5V","Buck GND","PWM Signal","GPIO25"
"MG995 Servo 4 (Wheel)","Buck 5V","Buck GND","PWM Signal","GPIO12"
"MG995 Servo 5 (Camera Pan)","Buck 5V","Buck GND","PWM Signal","GPIO16"
"Ultrasonic 1","Buck 5V","Buck GND","Trig, Echo","GPIO20, GPIO21"
"Ultrasonic 2","Buck 5V","Buck GND","Trig, Echo","GPIO7, GPIO8"
"Ultrasonic 3","Buck 5V","Buck GND","Trig, Echo","GPIO1, GPIO4"
"Ultrasonic 4","Buck 5V","Buck GND","Trig, Echo","GPIO23, GPIO9"
"Webcam (Logitech)","Pi USB","---","---","---"
